,Average Energy per spin $E/N$,Specific Heat per spin $C_V/N$,Average Magnetization per spin $M/N$,Susceptibility per spin $var(M)/N$,Average |Magnetization| per spin $|M|/N$,Variance of |Magnetization| per spin $var(|M|)/N$,Number of accepted configurations
0,-1.745713176,0.728922553982,0.911383468,0.390267461465,0.911383468,0.390267461465,79067099
1,-1.706741,0.842314395241,0.892648524,0.614305930836,0.892648524,0.614305930836,92574540
2,-1.66208204,0.959781824576,0.86833687,1.03953107716,0.86833687,1.03953107716,108370991
3,-1.609467624,1.11400593054,0.835615812,1.75010192921,0.835615812,1.75010192921,127301204
4,-1.547602264,1.36667774148,0.786310622,4.21779591624,0.786310622,4.21779591624,149969403
5,-1.4628486,1.94659945489,0.675559522,25.8300490966,0.675559522,25.8300490966,181420440
6,-1.34872058,2.08068609086,0.05212721,641.488575108,0.344806422,136.383259325,224352632
