,Average Energy per spin $E/N$,Specific Heat per spin $C_V/N$,Average Magnetization per spin $M/N$,Susceptibility per spin $var(M)/N$,Average |Magnetization| per spin $|M|/N$,Variance of |Magnetization| per spin $var(|M|)/N$,Number of accepted configurations
0,-1.7452241,0.733957061676,0.911136575,0.388009907816,0.911136575,0.388009907816,12674905
1,-1.706545625,0.836606298483,0.8923836875,0.633790136216,0.8923836875,0.633790136216,14815971
2,-1.66201655,0.958755837133,0.8689224875,0.902649843762,0.8689224875,0.902649843762,17342009
3,-1.6100246,1.1209983411,0.8372547625,1.47435332498,0.8372547625,1.47435332498,20331721
4,-1.546460325,1.40708409534,0.3080533375,383.878943879,0.7846907375,5.08425677079,24056128
5,-1.46515015,1.81922760059,0.2562019375,306.464589946,0.6908624625,13.7346277682,28886242
6,-1.35840585,2.02835555713,-0.064439175,197.819683331,0.4913248,32.7778385861,35330573
